Question,Answer
"What is the expiry date/how long do they last?","Our juices have a shelf life of around 100 days when refrigerated properly. They are made fresh daily to ensure the highest quality and maximum nutritional benefit. Consuming them within this period will ensure you get the best taste and health benefits."
"What’s the best cleanse for X condition?","Thank you for your question. A product specialist will be in touch shortly to provide more detailed information on the best cleanse for your condition. We appreciate your patience and look forward to assisting you further."
"Do you ship to X area & how much does it cost?","Thank you for your inquiry! Yes, we do ship to a variety of areas. Shipping costs vary depending on the location. For more detailed shipping cost information, please refer to our website or contact customer service."
"Why don’t you ship to X location?","Thank you for reaching out. We currently do not ship to X location due to logistical reasons. We apologize for any inconvenience and appreciate your understanding."
"How do I change my subscription?","Thank you for reaching out. You can edit your subscription directly through your Well Juicery account. If you have already created an account, just sign in by clicking the account icon on our website. If you don’t have an account yet, you can sign up using the email from your previous orders. Once logged in, you’ll find a 'Manage Subscription' button above your previous orders to make changes."
"I’m having trouble accessing my account, what can I do?","Thank you for reaching out. If you’re having trouble accessing your account, please ensure you are using the email associated with your previous orders. If you’re still having trouble, feel free to contact customer support, and we will assist you in resolving the issue."
"What are the health benefits of moringa?","Moringa is packed with nutrients, including vitamins A, C, and E, which help in reducing inflammation and supporting immune health. It’s also a great source of antioxidants."
Question	Answer
"The juices I got from the grocery store or Starbucks are expired, don't taste good. I want a refund."	"We are very sorry to hear that the juice you received did not meet your expectations. Please provide us with the details of your purchase, and we will arrange for a replacement or a full refund. Your satisfaction is our priority, and we appreciate your feedback to help us improve our products."
"The juice I bought tastes bad."	"We are very sorry to hear that the juice you received did not meet your expectations. Please provide us with the details of your purchase, and we will arrange for a replacement or a full refund. Your satisfaction is our priority, and we appreciate your feedback to help us improve our products."
"I have concerns about the quality of the product, it smells funny I am not sure if it is safe to drink."	"Thank you for bringing this to our attention. A product specialist will contact you shortly to resolve this matter and ensure that your concerns are addressed promptly. We apologize for any inconvenience this has caused and appreciate your patience."
"I have concerns about the safety of the product."	"Thank you for bringing this to our attention. A product specialist will contact you shortly to resolve this matter and ensure that your concerns are addressed promptly. We apologize for any inconvenience this has caused and appreciate your patience."
"Have you ever thought about adding this to your juices?"	"Thank you for your suggestion. We always appreciate feedback from our customers about new ideas. Our product team will review your suggestion and will be in touch if we decide to incorporate it into our product line."
"Thank you for your interest in collaborating with Well Juicery. Your proposal will be reviewed by our marketing team and they will get back to you if interested in collaborating."	"Thank you for your interest in collaborating with Well Juicery. Your proposal will be reviewed by our marketing team and they will get back to you if interested in collaborating."
"I want to make a large purchase order for my business."	"Thank you for your interest in placing a large order with us. Our sales team will contact you shortly to discuss your inquiry in more detail and assist you with the process. We look forward to working with you!"
"Do you accept PayPal for payments?"	"Thank you for reaching out. We accept various payment methods including credit cards, PayPal, and bank transfers. Our finance team will contact you shortly to provide more detailed information and assist you with your payment process. We appreciate your business!"
"I’m having trouble processing my payment."	"Thank you for reaching out. We apologize for the trouble you’re experiencing with processing your payment. Our finance team will get in touch with you shortly to help resolve this issue."
"Can you send me an invoice for my recent purchase?"	"Thank you for your inquiry. Our finance team will send you the invoice for your recent purchase shortly. We appreciate your business!"
"Can you explain a charge on my statement?"	"Thank you for reaching out. Our finance team will contact you shortly to provide clarification regarding the charge on your statement. We appreciate your business!"
"A specialist will review your inquiry and get back to you with the necessary information."	"A specialist will review your inquiry and get back to you with the necessary information."
"Purolator reached out regarding my order status, can you assist?"	"Thank you for reaching out. A representative from the Well Juicery team will get in touch with you shortly to assist you with any information regarding the order status and Purolator’s request."
"Are you offering affiliate programs?"	"Thank you for your interest in our affiliate program. A specialist will review your inquiry and get back to you with the necessary information."
"Could you please send me an updated address for Purolator?"	"Thank you for reaching out. We will forward your request to the Well Juicery team and someone will contact you shortly to assist you with updating the address for Purolator."
"Unsolicited email about buying tickets for an event."	"Email Body **EMPTY**"
"Unsolicited email offering services not related to Well Juicery."	"Email Body **EMPTY**"
"Out of office, I will be back on [date]."	"Email Body **EMPTY**"
"Thank you for your feedback!"	"Thank you for your wonderful feedback! We're thrilled to hear that you love our products. As a token of our appreciation, we'd like to offer you a discount coupon for your next purchase. We look forward to serving you again!"
"We apologize for any inconvenience you’ve experienced."	"We apologize for any inconvenience you’ve experienced and appreciate your honest feedback. We value your satisfaction and as a gesture of goodwill, we’d like to offer you a discount coupon for your next purchase. We hope you'll give us another chance to serve you better."
